Time,Input,Output
3.7e-07,(0.006389109799655377+0.007073662834266066j),(-0.0751788-0.0232869j)
3.75e-07,(0.008899122777024746+0.010268228846246128j),(-0.106044-0.0376957j)
3.8e-07,(0.005590479408812733+0.005134103310970693j),(-0.0618293-0.0160781j)
3.85e-07,(-0.002624112557906065+0.00022818360406007222j),(0.016715-0.0140403j)
3.9e-07,(-0.008899122777024739+0.005248202891507386j),(0.0417054-0.073621j)
3.9500000000000003e-07,(-0.007073662834266064+0.018254621651891526j),(-0.0230917-0.158385j)
4e-07,(0.0009127299713793376+0.026241125579060623j),(-0.111804-0.184718j)
4.05e-07,(0.006275032443423424+0.019281451203807566j),(-0.12204-0.115905j)
4.1e-07,(0.0023959133968326765+0.002624112557906066j),(-0.027612-0.0133882j)
4.15e-07,(-0.008100492386182101-0.009241399294330094j),(0.0949895+0.0308938j)
4.2e-07,(-0.015858708255058848-0.00901322235756144j),(0.150151+0.000698527j)
4.25e-07,(-0.014033248312300173-0.0044495725006647386j),(0.120134-0.0233642j)
4.3e-07,(-0.004677749437433392-0.007301839771034718j),(0.065875+0.0342438j)
4.35e-07,(0.004449572500664745-0.017113714743743545j),(0.0397678+0.141028j)
4.4e-07,(0.007301839771034713-0.020992811566029536j),(0.0329305+0.181641j)
4.4500000000000003e-07,(0.004791849017970085-0.009013222357561437j),(0.000221744+0.0874777j)
4.5000000000000003e-07,(0.002395913396832674+0.01197958920846811j),(-0.0681478-0.0728796j)
4.55e-07,(0.0035368425292854047+0.02498611909037596j),(-0.127793-0.164368j)
4.6e-07,(0.0055904794088127326+0.020422358111955554j),(-0.122657-0.12673j)
4.65e-07,(0.0034227429487487045+0.0055904794088127265j),(-0.0468689-0.0302884j)
4.7e-07,(-0.0035368425292854008-0.005020025954738734j),(0.0453948+0.0192366j)
4.75e-07,(-0.008214569742414055-0.0046777494374333935j),(0.0776805+0.000409528j)
4.800000000000001e-07,(-0.0027381899141380207+0.002281836040600721j),(0.0113742-0.0257432j)
4.85e-07,(0.012093688789004802+0.00946957623109874j),(-0.12355-0.0171128j)
